Account Type,Account Number,Transaction Date,Description 1,CAD$,USD$
MasterCard,,4/17/2022,STAPLES STORE #55 VANCOUVER BC,-3.36,
MasterCard,,4/17/2022,STAPLES STORE #55 VANCOUVER BC,-12.85,
MasterCard,,4/18/2022,H-MART DOWNTOWN VANCOUVER BC,-25.15,
MasterCard,,4/18/2022,7 ELEVEN STORE #33417 VANCOUVER BC,-17.91,
MasterCard,,4/18/2022,H-MART DOWNTOWN VANCOUVER BC,-23.91,
MasterCard,,4/19/2022,H-MART DOWNTOWN VANCOUVER BC,-14.09,
MasterCard,,4/20/2022,COLONY ENTERTAINMENT D VANCOUVER BC,-60.38,
MasterCard,,4/21/2022,UBER* EATS TORONTO ON,-12.14,
MasterCard,,4/22/2022,JOLLIBEE-VANCOUVER GRA VANCOUVER BC,-52.21,
MasterCard,,4/23/2022,7 ELEVEN STORE #33417 VANCOUVER BC,-18.1,
MasterCard,,4/24/2022,bb.q Chicken RobsonWes Vancouver BC,-49.88,
MasterCard,,4/24/2022,COMPASS ACCOUNT BURNABY BC,-3.05,
MasterCard,,4/24/2022,A&W 0771/AWDN1 VANCOUVER BC,-30.49,
MasterCard,,4/25/2022,H-MART DOWNTOWN VANCOUVER BC,-38.1,
MasterCard,,4/26/2022,THE POKE GUY VANCOUVER BC,-14.65,
MasterCard,,4/28/2022,7 ELEVEN STORE #33417 VANCOUVER BC,-3.39,
MasterCard,,4/29/2022,H-MART DOWNTOWN VANCOUVER BC,-28.98,
MasterCard,,5/3/2022,Amazon.ca*1Q1VK6662 AMAZON.CA ON,-17.82,
MasterCard,,5/4/2022,AMZN Mktp CA*1Q19N5KE2 WWW.AMAZON.CAON,-83.99,
MasterCard,,5/6/2022,A&W 0788/AWDN1 VANCOUVER BC,-15.12,
MasterCard,,5/8/2022,AMZN Mktp CA*1Q5EX39G0 WWW.AMAZON.CAON,-79.79,
MasterCard,,5/11/2022,Amazon.ca*1Q1VK6662 AMAZON.CA ON,-17.82,
MasterCard,,5/13/2022,AMZN Mktp CA*1Q19N5KE2 WWW.AMAZON.CAON,-83.99,
MasterCard,,5/15/2022,A&W 0788/AWDN1 VANCOUVER BC,-15.12,
MasterCard,,5/19/2022,AMZN Mktp CA*1Q5EX39G0 WWW.AMAZON.CAON,-79.79,
